client,round,percentage,count
client_101,31,tensor(0.0322),tensor(8252)
client_48,31,tensor(0.0295),tensor(7569)
client_140,31,tensor(0.0083),tensor(2128)
client_171,32,tensor(0.0192),tensor(4917)
client_111,32,tensor(0.0404),tensor(10358)
client_101,32,tensor(0.0055),tensor(1423)
client_30,32,tensor(0.0151),tensor(3881)
client_144,32,tensor(0.0340),tensor(8709)
client_97,32,tensor(0.0090),tensor(2310)
client_125,32,tensor(0.0066),tensor(1681)
client_26,32,tensor(0.0326),tensor(8367)
client_112,32,tensor(0.0130),tensor(3322)
client_65,32,tensor(0.0355),tensor(9090)
client_134,32,tensor(0.0346),tensor(8880)
client_0,32,tensor(0.0154),tensor(3950)
client_81,32,tensor(0.0415),tensor(10634)
client_59,33,tensor(0.0302),tensor(7743)
client_5,33,tensor(0.0142),tensor(3634)
client_18,33,tensor(0.0160),tensor(4108)
client_50,33,tensor(0.0088),tensor(2250)
client_28,33,tensor(0.0260),tensor(6679)
client_130,33,tensor(0.0436),tensor(11174)
client_136,33,tensor(0.0444),tensor(11393)
client_116,33,tensor(0.0105),tensor(2701)
client_135,33,tensor(0.0425),tensor(10904)
client_167,33,tensor(0.0110),tensor(2822)
client_8,33,tensor(0.0189),tensor(4849)
client_106,34,tensor(0.0181),tensor(4632)
client_74,34,tensor(0.0394),tensor(10094)
client_113,34,tensor(0.0359),tensor(9207)
client_95,34,tensor(0.0253),tensor(6498)
client_161,34,tensor(0.0315),tensor(8066)
client_116,34,tensor(0.0065),tensor(1667)
client_138,34,tensor(0.0257),tensor(6602)
client_164,34,tensor(0.0111),tensor(2844)
client_51,34,tensor(0.0151),tensor(3864)
client_1,34,tensor(0.0118),tensor(3018)
client_81,34,tensor(0.0110),tensor(2833)
client_30,34,tensor(0.0128),tensor(3270)
client_50,35,tensor(0.0103),tensor(2644)
client_56,35,tensor(0.0455),tensor(11655)
client_173,35,tensor(0.0157),tensor(4022)
client_160,35,tensor(0.0328),tensor(8418)
client_96,35,tensor(0.0248),tensor(6363)
client_86,35,tensor(0.0172),tensor(4416)
client_139,35,tensor(0.0426),tensor(10925)
client_68,35,tensor(0.0310),tensor(7959)
client_69,35,tensor(0.0238),tensor(6114)
client_95,35,tensor(0.0102),tensor(2606)
client_73,35,tensor(0.0109),tensor(2789)
client_54,36,tensor(0.0216),tensor(5526)
client_129,36,tensor(0.0470),tensor(12058)
client_78,36,tensor(0.0168),tensor(4319)
client_30,36,tensor(0.0077),tensor(1983)
client_81,36,tensor(0.0082),tensor(2096)
client_29,36,tensor(0.0186),tensor(4771)
client_85,36,tensor(0.0318),tensor(8163)
client_178,36,tensor(0.0282),tensor(7243)
client_149,36,tensor(0.0184),tensor(4726)
client_84,36,tensor(0.0332),tensor(8503)
client_76,36,tensor(0.0172),tensor(4416)
client_106,36,tensor(0.0071),tensor(1816)
client_125,37,tensor(0.0148),tensor(3790)
client_56,37,tensor(0.0097),tensor(2479)
client_171,37,tensor(0.0155),tensor(3975)
client_145,37,tensor(0.0163),tensor(4169)
client_51,37,tensor(0.0239),tensor(6116)
client_89,37,tensor(0.0320),tensor(8203)
client_43,37,tensor(0.0238),tensor(6099)
client_80,37,tensor(0.0180),tensor(4622)
client_97,37,tensor(0.0147),tensor(3773)
client_23,37,tensor(0.0150),tensor(3850)
client_159,37,tensor(0.0255),tensor(6550)
client_36,37,tensor(0.0136),tensor(3484)
client_134,37,tensor(0.0197),tensor(5058)
client_70,38,tensor(0.0181),tensor(4653)
client_88,38,tensor(0.0422),tensor(10819)
client_21,38,tensor(0.0483),tensor(12389)
client_100,38,tensor(0.0228),tensor(5857)
client_165,38,tensor(0.0370),tensor(9496)
client_157,38,tensor(0.0391),tensor(10024)
client_79,38,tensor(0.0254),tensor(6515)
client_129,38,tensor(0.0201),tensor(5163)
client_53,38,tensor(0.0304),tensor(7787)
client_101,38,tensor(0.0133),tensor(3401)
client_25,38,tensor(0.0139),tensor(3552)
client_74,38,tensor(0.0073),tensor(1872)
client_84,38,tensor(0.0143),tensor(3665)
client_113,39,tensor(0.0154),tensor(3939)
client_33,39,tensor(0.0458),tensor(11751)
client_44,39,tensor(0.0136),tensor(3477)
client_90,39,tensor(0.0155),tensor(3984)
client_94,39,tensor(0.0195),tensor(4988)
client_8,39,tensor(0.0109),tensor(2790)
client_99,39,tensor(0.0227),tensor(5827)
client_101,39,tensor(0.0099),tensor(2547)
client_129,39,tensor(0.0233),tensor(5983)
client_56,39,tensor(0.0089),tensor(2282)
client_29,39,tensor(0.0114),tensor(2934)
client_69,40,tensor(0.0113),tensor(2903)
client_49,40,tensor(0.0426),tensor(10913)
client_162,40,tensor(0.0297),tensor(7627)
client_178,40,tensor(0.0103),tensor(2650)
client_32,40,tensor(0.0369),tensor(9449)
client_42,40,tensor(0.0365),tensor(9351)
client_47,40,tensor(0.0240),tensor(6155)
client_25,40,tensor(0.0088),tensor(2262)
client_93,40,tensor(0.0192),tensor(4930)
client_146,40,tensor(0.0450),tensor(11544)
client_35,40,tensor(0.0178),tensor(4567)
client_97,40,tensor(0.0062),tensor(1595)
client_140,41,tensor(0.0165),tensor(4231)
client_58,41,tensor(0.0494),tensor(12654)
client_175,41,tensor(0.0503),tensor(12903)
client_124,41,tensor(0.0176),tensor(4510)
client_176,41,tensor(0.0093),tensor(2373)
client_161,41,tensor(0.0144),tensor(3695)
client_99,41,tensor(0.0086),tensor(2209)
client_25,41,tensor(0.0068),tensor(1746)
client_173,41,tensor(0.0162),tensor(4146)
client_134,41,tensor(0.0147),tensor(3760)
