client,round,percentage,count
client_2231,0,tensor(0.2622),tensor(7677)
client_938,0,tensor(0.2596),tensor(7602)
client_1100,0,tensor(0.2515),tensor(7364)
client_1437,0,tensor(0.4394),tensor(12866)
client_1651,0,tensor(0.2884),tensor(8444)
client_1753,0,tensor(0.2637),tensor(7721)
client_1700,0,tensor(0.4849),tensor(14200)
client_87,0,tensor(0.1126),tensor(3298)
client_1460,0,tensor(0.5704),tensor(16703)
client_428,0,tensor(0.3609),tensor(10569)
client_1053,0,tensor(0.5909),tensor(17303)
client_976,0,tensor(0.4179),tensor(12237)
client_1329,0,tensor(0.3918),tensor(11472)
client_1824,0,tensor(0.6867),tensor(20107)
client_1271,0,tensor(0.6001),tensor(17571)
client_1367,0,tensor(0.2626),tensor(7689)
client_1898,0,tensor(0.4080),tensor(11947)
client_1995,0,tensor(0.3296),tensor(9651)
client_1263,0,tensor(0.3030),tensor(8872)
client_1353,0,tensor(0.3590),tensor(10512)
client_2132,0,tensor(0.6653),tensor(19482)
client_1074,0,tensor(0.6523),tensor(19101)
client_1749,0,tensor(0.5421),tensor(15874)
client_1678,0,tensor(0.4116),tensor(12052)
client_891,0,tensor(0.5057),tensor(14807)
client_2206,0,tensor(0.4901),tensor(14352)
client_612,0,tensor(0.2712),tensor(7941)
client_2326,0,tensor(0.3927),tensor(11500)
client_1797,0,tensor(0.2194),tensor(6425)
client_575,0,tensor(0.3416),tensor(10003)
client_664,0,tensor(0.3118),tensor(9131)
client_1190,0,tensor(0.2942),tensor(8615)
client_2131,0,tensor(0.2675),tensor(7834)
client_12,0,tensor(0.3993),tensor(11693)
client_460,0,tensor(0.2872),tensor(8409)
client_1783,0,tensor(0.2254),tensor(6601)
client_1805,0,tensor(0.2669),tensor(7815)
client_1899,0,tensor(0.1427),tensor(4179)
client_1314,0,tensor(0.3554),tensor(10408)
client_979,0,tensor(0.4772),tensor(13973)
client_1638,0,tensor(0.6070),tensor(17774)
client_1260,0,tensor(0.4084),tensor(11960)
client_1782,0,tensor(0.4889),tensor(14315)
client_627,0,tensor(0.2860),tensor(8375)
client_31,0,tensor(0.1814),tensor(5311)
client_865,0,tensor(0.2102),tensor(6156)
client_1839,0,tensor(0.5640),tensor(16516)
client_1581,0,tensor(0.2454),tensor(7187)
client_2278,0,tensor(0.1451),tensor(4249)
client_258,0,tensor(0.3428),tensor(10039)
client_375,0,tensor(0.4989),tensor(14608)
client_1093,0,tensor(0.5377),tensor(15746)
client_251,0,tensor(0.3669),tensor(10743)
client_166,0,tensor(0.7285),tensor(21332)
client_514,0,tensor(0.2233),tensor(6539)
client_1004,0,tensor(0.1256),tensor(3677)
client_956,0,tensor(0.2187),tensor(6403)
client_758,0,tensor(0.3517),tensor(10299)
client_2064,0,tensor(0.5758),tensor(16862)
client_1264,0,tensor(0.0826),tensor(2418)
client_707,0,tensor(0.4746),tensor(13896)
client_1469,0,tensor(0.3748),tensor(10974)
client_277,0,tensor(0.1682),tensor(4926)
client_413,0,tensor(0.2731),tensor(7996)
client_1918,0,tensor(0.6095),tensor(17846)
client_1241,0,tensor(0.2337),tensor(6844)
client_2285,0,tensor(0.4352),tensor(12743)
client_983,0,tensor(0.3536),tensor(10354)
client_1053,0,tensor(0.1718),tensor(5032)
client_2234,0,tensor(0.6385),tensor(18696)
client_360,0,tensor(0.1317),tensor(3856)
client_1227,0,tensor(0.3293),tensor(9644)
client_1277,0,tensor(0.3175),tensor(9296)
client_629,0,tensor(0.6026),tensor(17645)
client_2332,0,tensor(0.7457),tensor(21837)
client_749,0,tensor(0.5443),tensor(15939)
client_516,0,tensor(0.4113),tensor(12043)
client_1793,0,tensor(0.5995),tensor(17554)
client_1351,0,tensor(0.6448),tensor(18880)
client_1714,0,tensor(0.1311),tensor(3839)
client_677,0,tensor(0.2912),tensor(8526)
client_2141,0,tensor(0.5870),tensor(17188)
client_1326,0,tensor(0.2927),tensor(8572)
client_594,0,tensor(0.3974),tensor(11636)
client_829,0,tensor(0.4831),tensor(14147)
client_349,0,tensor(0.5012),tensor(14675)
client_509,0,tensor(0.3944),tensor(11550)
client_845,0,tensor(0.5256),tensor(15392)
client_1593,0,tensor(0.2613),tensor(7652)
client_2210,0,tensor(0.5523),tensor(16173)
client_977,0,tensor(0.2623),tensor(7681)
client_1063,0,tensor(0.1150),tensor(3367)
client_2320,0,tensor(0.5942),tensor(17400)
client_609,0,tensor(0.2256),tensor(6606)
client_1918,0,tensor(0.2338),tensor(6846)
client_461,0,tensor(0.3025),tensor(8858)
client_1836,0,tensor(0.3686),tensor(10792)
client_492,0,tensor(0.1769),tensor(5180)
client_273,0,tensor(0.2865),tensor(8388)
client_1231,0,tensor(0.1497),tensor(4384)
client_792,0,tensor(0.5300),tensor(15520)
client_61,0,tensor(0.2470),tensor(7234)
client_2128,0,tensor(0.3937),tensor(11527)
client_1019,0,tensor(0.6113),tensor(17900)
client_2311,0,tensor(0.4581),tensor(13415)
client_453,0,tensor(0.1128),tensor(3302)
client_633,0,tensor(0.6052),tensor(17721)
client_829,0,tensor(0.1134),tensor(3320)
client_575,0,tensor(0.1837),tensor(5378)
client_482,0,tensor(0.1876),tensor(5492)
client_1074,0,tensor(0.1979),tensor(5794)
client_1046,0,tensor(0.2147),tensor(6287)
client_1580,0,tensor(0.3035),tensor(8887)
client_244,0,tensor(0.5876),tensor(17206)
client_2237,0,tensor(0.5418),tensor(15866)
client_2320,0,tensor(0.1215),tensor(3557)
client_1236,0,tensor(0.0993),tensor(2907)
client_2139,0,tensor(0.8155),tensor(23879)
client_1753,0,tensor(0.2170),tensor(6355)
client_1203,0,tensor(0.2814),tensor(8241)
client_758,0,tensor(0.0950),tensor(2783)
client_731,0,tensor(0.6332),tensor(18542)
client_558,0,tensor(0.2273),tensor(6656)
client_159,0,tensor(0.1717),tensor(5029)
client_1768,0,tensor(0.5106),tensor(14952)
client_1198,0,tensor(0.3300),tensor(9664)
client_498,0,tensor(0.2002),tensor(5863)
client_518,0,tensor(0.4513),tensor(13214)
client_1046,0,tensor(0.0714),tensor(2092)
client_447,0,tensor(0.4419),tensor(12940)
client_1803,0,tensor(0.4998),tensor(14635)
client_457,0,tensor(0.5777),tensor(16917)
client_1572,0,tensor(0.2516),tensor(7367)
client_1458,0,tensor(0.6057),tensor(17736)
client_811,0,tensor(0.5896),tensor(17266)
client_1350,0,tensor(0.5113),tensor(14973)
client_174,0,tensor(0.3033),tensor(8881)
client_394,0,tensor(0.1317),tensor(3856)
client_887,0,tensor(0.1988),tensor(5821)
client_30,0,tensor(0.4414),tensor(12926)
client_1309,0,tensor(0.2161),tensor(6327)
client_807,0,tensor(0.0754),tensor(2207)
client_2097,0,tensor(0.6891),tensor(20179)
client_371,0,tensor(0.1770),tensor(5182)
client_183,0,tensor(0.3798),tensor(11120)
client_1019,0,tensor(0.1707),tensor(4999)
client_425,0,tensor(0.6010),tensor(17599)
client_2154,0,tensor(0.3142),tensor(9199)
client_1185,0,tensor(0.2600),tensor(7614)
client_1458,0,tensor(0.1959),tensor(5737)
client_734,0,tensor(0.5685),tensor(16646)
client_512,0,tensor(0.1654),tensor(4842)
client_223,0,tensor(0.5356),tensor(15683)
client_667,0,tensor(0.2168),tensor(6348)
client_422,0,tensor(0.2017),tensor(5906)
client_753,0,tensor(0.1335),tensor(3909)
client_1570,0,tensor(0.5587),tensor(16360)
client_369,0,tensor(0.0233),tensor(682)
client_2146,0,tensor(0.1409),tensor(4127)
client_118,0,tensor(0.2283),tensor(6685)
client_645,0,tensor(0.2863),tensor(8383)
client_1827,0,tensor(0.4814),tensor(14096)
client_1609,0,tensor(0.6647),tensor(19464)
client_174,0,tensor(0.1415),tensor(4142)
client_2068,0,tensor(0.4692),tensor(13738)
client_596,0,tensor(0.5784),tensor(16937)
client_2078,0,tensor(0.2119),tensor(6205)
client_2309,0,tensor(0.2525),tensor(7393)
client_1549,0,tensor(0.5942),tensor(17399)
client_473,0,tensor(0.3285),tensor(9618)
client_1062,0,tensor(0.2450),tensor(7175)
client_1138,0,tensor(0.3285),tensor(9620)
client_1887,0,tensor(0.4903),tensor(14358)
