client,round,percentage,count
client_1663,13,tensor(0.1964),tensor(5752)
client_2078,13,tensor(0.2535),tensor(7424)
client_2282,13,tensor(0.1327),tensor(3886)
client_599,13,tensor(0.1611),tensor(4717)
client_914,13,tensor(0.6409),tensor(18768)
client_351,13,tensor(0.1615),tensor(4729)
client_664,13,tensor(0.2136),tensor(6256)
client_765,13,tensor(0.2741),tensor(8027)
client_865,13,tensor(0.2171),tensor(6357)
client_1538,13,tensor(0.3248),tensor(9510)
client_208,13,tensor(0.1360),tensor(3981)
client_366,13,tensor(0.1943),tensor(5689)
client_327,13,tensor(0.2057),tensor(6023)
client_1534,13,tensor(0.1040),tensor(3044)
client_2318,13,tensor(0.3059),tensor(8958)
client_1070,13,tensor(0.3476),tensor(10178)
client_1094,13,tensor(0.3038),tensor(8895)
client_13,13,tensor(0.1325),tensor(3879)
client_1539,13,tensor(0.2657),tensor(7779)
client_420,13,tensor(0.5963),tensor(17461)
client_1200,13,tensor(0.2282),tensor(6681)
client_1478,13,tensor(0.1737),tensor(5085)
client_2120,13,tensor(0.2056),tensor(6019)
client_861,13,tensor(0.3416),tensor(10002)
client_1890,14,tensor(0.3515),tensor(10294)
client_1643,14,tensor(0.3969),tensor(11621)
client_345,14,tensor(0.2472),tensor(7239)
client_259,14,tensor(0.1487),tensor(4353)
client_2282,14,tensor(0.0825),tensor(2416)
client_1998,14,tensor(0.1721),tensor(5038)
client_1434,14,tensor(0.1685),tensor(4934)
client_899,14,tensor(0.4419),tensor(12940)
client_1473,14,tensor(0.1387),tensor(4061)
client_1555,14,tensor(0.2577),tensor(7547)
client_1829,14,tensor(0.0911),tensor(2667)
client_105,14,tensor(0.1352),tensor(3960)
client_2224,14,tensor(0.1369),tensor(4008)
client_1740,14,tensor(0.1432),tensor(4192)
client_1064,14,tensor(0.1902),tensor(5570)
client_694,14,tensor(0.1239),tensor(3628)
client_162,14,tensor(0.0767),tensor(2246)
client_1765,14,tensor(0.1282),tensor(3755)
client_1320,14,tensor(0.1575),tensor(4613)
client_635,14,tensor(0.1498),tensor(4385)
client_2172,14,tensor(0.1486),tensor(4352)
client_699,14,tensor(0.1431),tensor(4191)
client_1830,14,tensor(0.1324),tensor(3877)
client_1331,14,tensor(0.4688),tensor(13726)
client_377,14,tensor(0.4125),tensor(12078)
client_1453,14,tensor(0.1633),tensor(4782)
client_745,14,tensor(0.0951),tensor(2785)
client_17,14,tensor(0.4280),tensor(12534)
client_1916,14,tensor(0.2170),tensor(6353)
client_364,14,tensor(0.4068),tensor(11913)
client_2005,14,tensor(0.1445),tensor(4231)
client_1156,14,tensor(0.1207),tensor(3534)
client_897,14,tensor(0.2390),tensor(6999)
